================================================================================
COSMETIKALUX.RU — КАРТОЧКИ ТОВАРОВ
Дата сбора: 2026-03-23
================================================================================

Всего товаров с ценами: 494
Всего уникальных URL товаров: 478

--------------------------------------------------------------------------------
№     | Название                                                | Бренд              | Цена       | Ед.изм    
70    | 4-рядная зубная щётка средней жесткости                 | EBISU              | 150₽       |           
71    | Xyldent Black Crystal Green                             | Mukunghwa          | 180₽       |           
72    | Дополнительная зубная щётка для брекет-систем           | EBISU              | 370₽       |           
73    | Sumigaki Отбеливающая зубная паста                      | Kobayashi          | 450₽       | 100g      
74    | Xyldent Отбеливающая паста цитрус и гамамелис           | Mukunghwa          | 200₽       | 110g      
75    | Xyldent Отбеливающая паста зелёный чай                  | Mukunghwa          | 200₽       | 110g      
76    | Xyldent Отбеливающая паста травы и эвкалипт             | Mukunghwa          | 200₽       | 110g      
77    | Vitamin Health Clinic зубная паста                      | Mukunghwa          | 170₽       | 100g      
78    | Gold Nano Toothbrush Fusion Slim" (repeat)              | Right Life         | 170₽       |           
79    | Silver Nano Toothbrush Fusion Slim                      | Right Life         | 170₽       |           
80    | Зубная щетка фьюжн слим с нефритовыми ингредиентами     | Right Life         | 220₽       |           
81    | Комплекс на основе зверобоя при повышенном стрессе и на | DHC                | 1,000₽     | 120       
82    | DHC GABA Витаминный комплекс от стресса, раздражения    | DHC                | 900₽       |           
83    | Гинкго билоба с витаминами группы В                     | DHC                | 950₽       |           
84    | Гинкго Билоба                                           | FUJIMA             | 2,600₽     |           
85    | Гинкго Билоба с черным чесноком для мозговой деятельнос | Fine Japan         | 2,350₽     |           
86    | Ginkgo Leaf Extract для улучшения памяти                | FINE JAPAN         | 1,800₽     |           
87    | DHA + EPA + Гинкго билоба для мозга и памяти            | DHC                | 1,350₽     |           
88    | Панседан успокоительное средство на травах              | SATO               | 800₽       |           
89    | БАД для здорового и полноценного сна                    | ORIHIRO            | 1,000₽     |           
90    | Brain Activity комплекс с гинкго билоба                 | ORIHIRO            | 950₽       |           
91    | UV Protection Visor                                     |                    | 4,800₽     |           
92    | UV Protection Visor (variant)                           |                    | 4,800₽     |           
93    | Guess Children's Underwear Set (10 pieces)              |                    | 3,800₽     |           
94    | Guess Children's Underwear Set (10 pieces, variant)     |                    | 3,800₽     |           
95    | Guess Children's Tank Tops (5-piece set)                |                    | 3,800₽     |           
96    | Guess Children's Tank Tops (5-piece set, variant)       |                    | 3,800₽     |           
97    | Витамины C + D для поддержания красоты и здоровья       |                    | 1,500₽     |           
98    | - Brand: Yuwa                                           |                    | 950₽       |           
99    | - Brand: Yuwa                                           |                    | 1,500₽     |           
100   | DHC Альфа-липоевая кислота                              |                    | 2,000₽     |           
101   | Unimat Riken ZOO Витамин С                              |                    | 1,100₽     |           
102   | Экстракт Тоути                                          |                    | 1,400₽     |           
103   | ORIHIRO Жевательный витамин С                           |                    | 600₽       |           
104   | ORIHIRO Железо + фолиевая кислота + витамины            |                    | 600₽       |           
105   | - Brand: Nutri d-day Premium                            |                    | 1,100₽     |           
106   | - Brand: Nutri-D Day                                    |                    | 1,600₽     |           
107   | DHC Nattokinase Наттокиназа                             |                    | 1,600₽     |           
108   | Fine Japan Наттокиназа                                  |                    | 2,500₽     |           
109   | DHC Витамин С                                           |                    | 600₽       |           
110   | Orihiro MOST Chewable Zinc                              |                    | 1,000₽     |           
111   | Свечи Zassle AX                                         |                    | 700₽       |           
112   | Коэнзим Q10 FUJIMA                                      |                    | 3,000₽     |           
113   | Fancl Базовый комплекс витаминов и минералов            |                    | 1,600₽     |           
114   | DHC Витамин D                                           |                    | 300₽       |           
115   | DHC Цинк                                                |                    | 400₽       |           
116   | DHC Витамины группы B                                   |                    | 450₽       |           
117   | DHC Донник                                              |                    | 1,250₽     |           
118   | DHC 32 вида овощей и трав                               |                    | 850₽       |           
119   | FUJIMA Ресвератрол и астаксантин                        |                    | 3,500₽     |           
120   | Витамин D3 FUJIMA                                       |                    | 1,450₽     |           
121   | Витаминно-минеральный комплекс FUJIMA                   |                    | 2,400₽     |           
122   | Комплекс для поддержки сосудов FUJIMA Nattokinase       |                    | 3,850₽     |           
123   | Витамин C Orihiro                                       |                    | 950₽       |           
124   | DHC Биотин медленного высвобождения                     |                    | 400₽       |           
125   | Taisho Pharmaceutical Preser Свечи                      |                    | 1,000₽     |           
126   | - Brand: Nutri D-day Premium                            |                    | 1,950₽     |           
127   | Коэнзим Q10 в капсулах DHC                              |                    | 950₽       |           
128   | ORIHIRO Жевательный комплекс витаминов и минералов      |                    | 600₽       |           
129   | DHC Витамин С в порошке                                 |                    | 500₽       |           
130   | Nature Made Витамин B12                                 |                    | 750₽       |           
131   | DHC натуральный витамин A                               |                    | 1,300₽     |           
132   | Фолиевая кислота DHC                                    |                    | 500₽       |           
133   | Kobayashi Fight комплекс                                |                    | 1,400₽     |           
134   | Мазь Zassuru AX                                         |                    | 700₽       |           
135   | - Brand: UNIMAT RIKEN Zoo Series                        |                    | 1,100₽     |           
136   | - Brand: UNIMAT RIKEN ZOO                               |                    | 1,100₽     |           
137   | Unimat Triken Snack Supplement ZOO Витамин D            |                    | 1,300₽     |           
138   | DHC Мультивитамины                                      |                    | 1,000₽     |           
139   | Orihiro Coenzyme Q10 Комплекс                           |                    | 2,300₽     |           
140   | DHC Витамин К                                           |                    | 700₽       |           
141   | Аминокислоты, мультивитамины и минералы Asahi Dear-Natu |                    | 2,000₽     |           
142   | Комплекс для роста и густоты волос DHC Volume Top       |                    | 2,900₽     |           
143   | Гемовое железо DHC                                      |                    | 1,150₽     |           
144   | DHC Черный уксус с чесноком                             |                    | 1,250₽     |           
145   | JAY&Co L-лизин таблетки от герпеса                      |                    | 1,300₽     |           
146   | Здоровая кожа DHC Deacnea                               |                    | 1,200₽     |           
147   | Пластырь с красным женьшенем Power Red Ginseng          |                    | 250₽       |           
148   | Капсулы с маслом семян периллы DHC                      |                    | 700₽       |           
149   | FANCL от давления                                       |                    | 2,100₽     |           
150   | Virus Kafun Ion De Block                                |                    | 1,000₽     |           
151   | Nature Made Super мультивитамины и минералы             |                    | 2,400₽     |           
152   | DНС Контроль холестерина                                |                    | 1,600₽     |           
153   | DHC MUDZU от аллергии                                   |                    | 1,950₽     |           
154   | Magnesium+ — Магний с добавками                         |                    | 850₽       |           
155   | FJ Натуральный йодовый препарат                         |                    | 2,700₽     |           
156   | FANCL Витамины и минералы                               |                    | 1,200₽     |           
157   | ORIHIRO Хлорелла                                        |                    | 1,500₽     |           
158   | DHC Соевый Лецитин                                      |                    | 700₽       |           
159   | Комплекс витаминов Holidays Vitamin B Complex           |                    | 1,100₽     |           
160   | Спрей от комаров и клещей для детей                     |                    | 600₽       |           
161   | Гемовое железо DHC, B12, фолиевая кислота               |                    | 650₽       |           
162   | HARELU Цинк                                             |                    | 950₽       |           
163   | DHC астаксантин                                         |                    | 1,500₽     |           
164   | DHC Full Of Energy                                      |                    | 1,950₽     |           
165   | DHC Экстракт Кампо Шофусан                              |                    | 2,300₽     |           
166   | Vita Labs Magnesium 420                                 |                    | 1,600₽     |           
167   | Holidays Premium Quality Calcium Magnesium Zinc Vitamin |                    | 1,200₽     |           
168   | DHC Витамин E                                           |                    | 450₽       |           
169   | Ферритовое магнитное ожерелье PIP MagneLoop EX          |                    | 2,300₽     |           
170   | Fine Japan Nattokinase                                  |                    | 2,200₽     |           
171   | ORIHIRO Oyster Extract for Men's Health                 |                    | 2,200₽     |           
172   | Dear-Natura Palmetto - Men's Health with Saw Palmetto E |                    | 1,200₽     |           
173   | FANCL Men's Vitamins & Minerals (Ages 20-29)            |                    | 2,200₽     |           
174   | FANCL Men's Vitamins & Minerals (Ages 30-39)            |                    | 2,500₽     |           
175   | FANCL Men's Vitamins & Minerals (Ages 40-49)            |                    | 3,700₽     |           
176   | FANCL Men's Vitamins & Minerals (Ages 50-59)            |                    | 4,300₽     |           
177   | FANCL Men's Vitamins & Minerals (Ages 60+)              |                    | 4,500₽     |           
178   | ORIHIRO Turtle Extract                                  |                    | 1,650₽     |           
179   | DHC Maca Supplement                                     |                    | 1,650₽     |           
180   | Fine Japan Palmetto Night                               |                    | 1,700₽     |           
181   | ORIHIRO Oysters + Mussels + Garlic + Turmeric           |                    | 2,250₽     |           
182   | - Brand: Sante                                          |                    | 550₽       |           
183   | - Brand: WIBI                                           |                    | 600₽       |           
184   | - Brand: Rohto                                          |                    | 380₽       |           
185   | - Brand: Santen                                         |                    | 700₽       |           
186   | - Brand: Sante                                          |                    | 600₽       |           
187   | - Brand: Rohto                                          |                    | 600₽       |           
188   | - Brand: Lion                                           |                    | 750₽       |           
189   | - Brand: Santen                                         |                    | 400₽       |           
190   | - Brand: Rohto                                          |                    | 1,000₽     |           
191   | - Brand: Lion                                           |                    | 400₽       |           
192   | - Brand: DHC                                            |                    | 1,400₽     |           
193   | - Brand: Rohto                                          |                    | 750₽       |           
194   | - Brand: Rohto                                          |                    | 800₽       |           
195   | - Brand: Lion                                           |                    | 800₽       |           
196   | Product (No Name Listed)                                |                    | 550₽       |           
197   | - Brand: DHC                                            |                    | 1,000₽     |           
198   | - Brand: Orihiro                                        |                    | 600₽       |           
199   | - Brand: Nutri D-Day                                    |                    | 1,500₽     |           
200   | - Brand: Fine Japan                                     |                    | 1,900₽     |           
201   | - Brand: Showa Siko                                     |                    | 510₽       |           
202   | 25 | Various Hair Combs & Brushes | Solomeya | 600      |                    | 750₽       |           
203   | Name: "Пластырь для ран L.mo Soft Touch M (80 шт, 19×72 |                    | 350₽       |           
204   | Name: "Охлаждающий пластырь                             |                    | 180₽       |           
205   | Name: "IIOVER COOL PAK Пластырь от температуры          |                    | 100₽       |           
206   | Name: "Kobayashi Pharmaceutical Cooling Gel Sheet" (дет |                    | 1,350₽     |           
207   | Name: "Kobayashi Pharmaceutical Cooling Gel Sheet       |                    | 1,350₽     |           
208   | ORIHIRO Экстракт устриц для мужского здоровья           |                    | 2,200₽     |           
209   | БАД для мужского здоровья с экстрактом пальмы сереноа П |                    | 1,200₽     |           
210   | ORIHIRO Trionyx (Turtle) Extract                        |                    | 1,650₽     |           
211   | DHC Maca Bioadditive                                    |                    | 1,650₽     |           
212   | Sante FX Neo                                            |                    | 550₽       |           
213   | WIBI Eye Drops with Vitamins                            |                    | 600₽       |           
214   | Rohto 40a Eye Drops                                     |                    | 380₽       |           
215   | Santen Medical Eye Drops                                |                    | 700₽       |           
216   | Sante FX-V+ Eye Drops                                   |                    | 600₽       |           
217   | Rohto Z Pro Super Mint Drops                            |                    | 600₽       |           
218   | ROHTO Child Drops                                       |                    | 600₽       |           
219   | Lion Smile Whiteye Eye Drops                            |                    | 750₽       |           
220   | Sante 40 Kaiteki with Vitamin E                         |                    | 400₽       |           
221   | Sante 40 Gold with Chondroitin                          |                    | 700₽       |           
222   | Rohto V 11 Eye Drops                                    |                    | 1,000₽     |           
223   | Lion Smile 40 Eye Drops                                 |                    | 400₽       |           
224   | DHC Quick Haste Blueberries Complex                     |                    | 1,400₽     |           
225   | Rohto Z! Toning Drops                                   |                    | 750₽       |           
226   | Rohto Gold 40 Prevention Drops                          |                    | 750₽       |           
227   | Lion Smile Whiteye Contact Drops                        |                    | 750₽       |           
228   | Rohto Gold 40 Mild with Chondroitin                     |                    | 800₽       |           
229   | LION Smile 40 Premium with Vitamin A                    |                    | 800₽       |           
230   | Product (unnamed)                                       |                    | 550₽       |           
231   | DHC Bilberry Extract                                    |                    | 1,000₽     |           
232   | Orihiro Blueberry & Lutein Chewables                    |                    | 600₽       |           
233   | Nutri D-Day Lutein Gold                                 |                    | 1,500₽     |           
234   | Fine Japan Sharp Vision                                 |                    | 1,900₽     |           
235   | Showa Siko Megane Lens Wipes                            |                    | 510₽       |           
236   | Корейские пробиотики LACTO-FIT(50 стиков)               |                    | 1,700₽     |           
237   | Гранулы от изжоги и боли в желудке Panshiron Cure (30 п |                    | 1,100₽     |           
238   | Пищевая добавка LACTIS 10 мл / 30 пакетиков             |                    | 8,600₽     |           
239   | Biofermin Shin S — японский пробиотик                   |                    | 3,200₽     |           
240   | Kowa THE GUARD α3+ Защитник желудка (550 табл)          |                    | 3,200₽     |           
241   | Ohta Isan Средство для улучшения пищеварения (150 гр)   |                    | 1,800₽     |           
242   | Seedcoms Spore-Like Lactic Acid Bacteria Комплекс (30 д |                    | 900₽       |           
243   | DHC Бифидобактерии EX (30 капсул на 30 дней)            |                    | 1,700₽     |           
244   | Ohta Isan Препарат для нормализации ЖКТ (48 шт)         |                    | 1,900₽     |           
245   | DHC Aloe Laxative Слабительное (120 шт на 60 дн)        |                    | 1,500₽     |           
246   | - Price                                                 |                    | 1,100₽     |           
247   | Kobayashi Pharmaceutical Nodonuru Analgesic Throat Caps |                    | 900₽       |           
248   | Peppermint Field Black Aromatic Inhaler Stick (2 ml)    |                    | 210₽       |           
249   | Kobayashi Nodonuru EX Cool Menthol Throat Spray (15 ml) |                    | 1,100₽     |           
250   | Chikunain Sinusitis and Rhinitis Tablets (224 tablets)  |                    | 5,500₽     |           
251   | Hanmi MokN Spray (30 ml)                                |                    | 1,450₽     |           
252   | Sato NAZAL Nasal Spray with Lavender                    |                    | 700₽       |           
253   | SATO Nazal Japanese Nasal Spray with Pump (30 ml)       |                    | 700₽       |           
254   | DHC Cold Out Cold Prevention Supplement (30 days)       |                    | 1,600₽     |           
255   | Green Herb Nasal Inhaler Stick with Thai Essential Oils |                    | 170₽       |           
256   | Chikunain Herbal Complex for Rhinitis and Sinusitis, 7+ |                    | 3,000₽     |           
257   | - Price                                                 |                    | 500₽       |           
258   | Air Doctor Virus Blocker Badge with Clip (1 unit)       |                    | 350₽       |           
259   | Air Doctor Portable Virus Blocker                       |                    | 350₽       |           
260   | Kobayashi "Dasmoke" Комплекс для очищения бронхов, 80 т |                    | 2,600₽     |           
261   | DHC Здоровая печень (90 капсул на 30 дней)              |                    | 1,400₽     |           
262   | ORIHIRO Экстракт Корбикулы (120 табл на 30 дней)        |                    | 1,800₽     |           
263   | DHC Куркума (60 капсул на 30 дней)                      |                    | 1,850₽     |           
264   | Лецитин DHC 120 капсул на 30 дней                       |                    | 700₽       |           
265   | Orihiro Концентрированная куркума и витамины группы B в |                    | 700₽       |           
266   | Комплекс для восстановления печени Sato Liverurso Gold  |                    | 2,800₽     |           
267   | Seedcoms Комплекс для восстановления работы печени на 3 |                    | 1,000₽     |           
268   | Глюкозамин и хондроитин Orihiro** (360 tablets, 36 days |                    | 1,900₽     |           
269   | Fine Japan Хондроитин и глюкозамин с комплексом витамин |                    | 3,500₽     |           
270   | (glucosamine + chondroitin + MSM, 900 tablets, 90 days) |                    | 3,800₽     |           
271   | (glucosamine + chondroitin + MSM, 360 tablets, 36 days) |                    | 2,050₽     |           
272   | (900 tablets, 100 days)                                 |                    | 3,000₽     |           
273   | DHC Extremely Easy EX Глюкозамин** (with type II collag |                    | 1,900₽     |           
274   | Orihiro Глюкозамин с хондроитином** (900 tablets, 90 da |                    | 3,000₽     |           
275   | Хондроитин ZS Tablets** (270 tablets, 45 days)          |                    | 7,000₽     |           
276   | DHC Хондроитин** (90 capsules, 30 days)                 |                    | 1,200₽     |           
277   | NOGUCHI Глюкозамин + Хондроитин + Коллаген** (700 table |                    | 3,700₽     |           
278   | Кальций+витамин D Orihiro** (yogurt flavor, 180 chewabl |                    | 1,300₽     |           
279   | Кальций + витамин D Nature Made Super Calcium** (120 ca |                    | 1,200₽     |           
280   | (180 capsules, 3 months)                                |                    | 1,700₽     |           
281   | (150 tablets, 75 days)                                  |                    | 1,100₽     |           
282   | DHC Кальций, Магний, Витамин D3** (60 days)             |                    | 900₽       |           
283   | DHC Ichirokujuni EX** (pain relief, 60 tablets)         |                    | 1,700₽     |           
284   | GH Creation EX — Комплекс для роста** (270 tablets, 90  |                    | 3,300₽     |           
285   | (calcium + magnesium, 240 tablets, 60 days)             |                    | 950₽       |           
286   | Price                                                   |                    | 2,300₽     |           
287   | - Full name: "Ансерин Asahi Dear-Natura Gold (60 таб, 3 |                    | 2,150₽     |           
288   | Price                                                   |                    | 1,350₽     |           
289   | Жевательные таблетки Бонаринг" (Bonaring Chewable Table |                    | 500₽       |           
290   | Aneron Niscap                                           |                    | 1,100₽     |           
291   | Travelop QQ S (Sidр)                                    |                    | 400₽       |           
292   | Travelop QQ S (Sidр)** (duplicate listing)              |                    | 400₽       |           
293   | Растворимый кофе МАХІМ из Японии от AGF** (120g)        |                    | 1,150₽     |           
294   | UCC The Blend Mild Натуральный молотый кофе** (16 units |                    | 770₽       |           
295   | Японский зеленый чай Сенча Уджиен** (50 packets)        |                    | 630₽       |           
296   | Seiko Кофе с молоком Nagomi Cafe au lait** (24 units)   |                    | 630₽       |           
297   | Molotый кофе Nagomi Special Blend Seiko Coffee** (160g  |                    | 720₽       |           
298   | Чай AVANCE Earl Grey Apple Tea** (18 packets)           |                    | 350₽       |           
299   | Чай AVANCE Earl Grey Orange Tea** (18 packets)          |                    | 350₽       |           
300   | Lipton Pure & Simple** (100 packets)                    |                    | 650₽       |           
301   | MJB Army Green DP Coffee** (20 drip packets)            |                    | 890₽       |           
302   | AVANCE Чай Эрл Грей черный c персиком** (18 packets, 28 |                    | 350₽       |           
303   | - Price                                                 |                    | 4,500₽     |           
304   | эмульсия для сужения пор Dr.Ceuracle 5α Control Clearin |                    | 3,450₽     |           
305   | Увлажняющий лосьон с морской водой Round Lab 1025 Dokdo |                    | 2,350₽     |           
306   | O HUI White Extreme White Emulsion Осветляющая эмульсия |                    | 3,500₽     |           
307   | Успокаивающий и увлажняющий лосьон ANUA (200мл)         |                    | 2,900₽     |           
308   | Лосьон-молочко с персиком и ниацинамидом Anua Peach 77  |                    | 2,900₽     |           
309   | - Price                                                 |                    | 2,600₽     |           
310   | Омолаживающая эмульсия с комплексом пептидов 9 Aqua Ess |                    | 2,000₽     |           
311   | The History of Whoo Gongjinhyang Soo Vital Hydrating Em |                    | 3,800₽     |           
312   | The Saga of Soo Botanical Energy Balancing Moisturizer  |                    | 2,500₽     |           
313   | Price Range:** 700                                      |                    | 10,500₽    |           
314   | Round Lab Birch Juice Hand Cream** (30 ml)              |                    | 380₽       |           
315   | FarmStay JEJU Mayu Visible Difference Hand Cream Horse  |                    | 150₽       |           
316   | TENZERO Touch Holic Hand Cream Vanilla Sunshine** (50 m |                    | 270₽       |           
317   | Christian Dean Platinum Horse Oil Hand Cream** (100 mg) |                    | 190₽       |           
318   | JIGOTT Hand Cream with Lotus Extract** (100 ml)         |                    | 130₽       |           
319   | Kamill Classic Hand and Nail Cream** (60 ml)            |                    | 450₽       |           
320   | MISSHA Dare Body Hand Cream Love Begins                 |                    | 350₽       |           
321   | PrettySkin Mask Hand Rich Moisture** (16 ml)            |                    | 200₽       |           
322   | JIGOTT Hand Cream with Hibiscus Extract** (100 ml)      |                    | 130₽       |           
323   | JIGOTT Secret Garden Chrysanthemum Hand Cream** (100 ml |                    | 130₽       |           
324   | KUNDAL Shea Butter & Macadamia Hand Cream** (50 ml)     |                    | 550₽       |           
325   | HAND PACK Shea Butter Moisture** (14 g)                 |                    | 140₽       |           
326   | JIGOTT Hand Cream with Edelweiss Extract** (100 ml)     |                    | 130₽       |           
327   | Jigott Real Moisture Argan Oil Hand Cream** (100 ml)    |                    | 130₽       |           
328   | Singi Oil Pen Nail & Cuticle Recover** (2 ml)           |                    | 550₽       |           
329   | Jigott Vita Solution 12 Brightening Hand Care Pack** (1 |                    | 120₽       |           
330   | Jigott Real Moisture Snail Hand Cream** (100 ml)        |                    | 130₽       |           
331   | Jigott Real Moisture Pomegranate Hand Cream** (100 ml)  |                    | 130₽       |           
332   | Осветляющий крем для век с транексамовой кислотой и глу |                    | 1,400₽     |           
333   | Su:m37 Secret Eye Cream                                 |                    | 5,650₽     |           
334   | Крем для век с ретинолом                                |                    | 2,100₽     |           
335   | Meditime Крем для век с эффектом ботокса (30 мл)        |                    | 1,500₽     |           
336   | Eye Charm Magic Slim - Double Sided Eyelid Tape (44шт)  |                    | 260₽       |           
337   | SU:M37 Blossom Garden Антивозрастной крем для кожи вокр |                    | 3,000₽     |           
338   | TENZERO Moisture Collagen Eye Cream (40 мл)             |                    | 500₽       |           
339   | JMsolution Prime Gold Eye Patch (60 шт)                 |                    | 1,300₽     |           
340   | BeauGreen Coffee Hydrogel Eye Patch (30 пар)            |                    | 950₽       |           
341   | BeauuGreen Collagen & Gold Hydrogel Eye Patch (30пар)   |                    | 900₽       |           
342   | Medi-Peel 24K Gold Snail Repair Eye Cream (40мл)        |                    | 2,100₽     |           
343   | JMsolution Gold Silk Protein Hydrogel Patch (60шт)      |                    | 1,100₽     |           
344   | JMsolution Silk & Charcoal Hydrogel Patch (60 шт)       |                    | 1,100₽     |           
345   | JMsolution Silk Protein Hydrogel Patch (60 шт)          |                    | 1,150₽     |           
346   | Manyo Factory Bifida Biome Concentrate Eye Cream (30 мл |                    | 2,700₽     |           
347   | Липосомная омолаживающая сыворотка для век Beauty (30мл |                    | 1,800₽     |           
348   | Успокаивающие гидрогелевые патчи с пептидами (60шт)     |                    | 1,500₽     |           
349   | Патчи с экстрактом розы и пептидами (60шт)              |                    | 1,500₽     |           
350   | Bueno Bakuchiol Anti Wrinkle Ampoule Eye Patch (60 шт)  |                    | 2,400₽     |           
351   | AHC Premier Ampoule In Eye Cream 6 Collagen (40мл)      |                    | 1,600₽     |           
352   | AHC Premier Ampoule In Eye Cream 6 Collagen (12мл)      |                    | 450₽       |           
353   | Manyo Bifida Biome Concentrate Eye Cream                |                    | 3,000₽     |           
354   | Round Lab Dokdo Eye Cream                               |                    | 3,100₽     |           
355   | Heimish Marine Care Retinol Eye Serum (30 мл)           |                    | 1,700₽     |           
356   | 5 Growth Factors Eye Tox Cream                          |                    | 1,500₽     |           
357   | Mezzo Filla Eye Serum                                   |                    | 1,700₽     |           
358   | Укрепляющий крем для век со стволовыми клетками (30мл)  |                    | 2,100₽     |           
359   | Лифтинг-крем для век с пептидным комплексом             |                    | 1,800₽     |           
360   | Крем для глаз с лифтинг эффектом                        |                    | 2,000₽     |           
